"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"ATT";"";"SPDT.LUGS";"SPDT.LUGS";"SPDT Switches";"";"";"";"";"";"";"";"";
"C1";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C2";"47p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C3";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C4";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C5";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C6";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C7";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C8";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C9";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C10";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C11";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C12";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C13";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C14";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C15";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C16";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"C17";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"D1";"15817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";"";
"D3";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";"";
"D4";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"D5";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"D6";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"D7";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"D8";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"D9";"1N4148";"DO35.3";"DO35-3";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";"";
"DECAY";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"DRIVE";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"D_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"FREQ";"C10k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"G_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"IC1";"TL074P";"TL074P";"DIL14";"OP AMP";"";"";"";"";"";"";"0";"";
"IC2";"TL072P";"TL072P";"DIL08";"OP AMP";"";"";"";"";"";"";"13";"";
