Qty;Value;Device;Package
1;;SPDT.LUGS;SPDT.LUGS
1;100R;R-US_0204/7;0204/7
2;100k;R-US_0204/7;0204/7
9;100n;C-EU050-025X075;C050-025X075
1;100p;C-EU050-025X075;C050-025X075
2;100u;CPOL-USE2.5-6;E2,5-6
10;10k;R-US_0204/7;0204/7
1;1N5817;DO41.3;DO41-3
2;1M;R-US_0204/7;0204/7
6;1N4148;DO35.3;DO35-3
3;1k;R-US_0204/7;0204/7
3;1u;C-EU050-055X075;C050-055X075
1;220R;R-US_0204/7;0204/7
5;22k;R-US_0204/7;0204/7
1;3k3;R-US_0204/7;0204/7
2;470k;R-US_0204/7;0204/7
3;47k;R-US_0204/7;0204/7
1;47p;C-EU050-025X075;C050-025X075
1;47u;CPOL-USE2.5-6;E2,5-6
2;4k7;R-US_0204/7;0204/7
1;A100k;16MM.1;16MM_B.MOUNT
1;ATTINY85-20PU;ATTINY85-20PU;DIP781W56P254L950H533Q8N
2;B100k;16MM.1;16MM_B.MOUNT
1;B10k;16MM.1;16MM_B.MOUNT
1;C10k;16MM.1;16MM_B.MOUNT
2;LED.3;LED.3;3MM_2
1;LM78L.;LM78L.;TO92
1;RLED;R-US_0204/7;0204/7
1;TL072P;TL072P;DIL08
1;TL074P;TL074P;DIL14
